zts1e	Negozio degli attrezzi di Teo
zts17086e	Assurdo! Forse potreste affrontarlo in un'altra vita!
zts17087e	Penso che tu ci sottovaluti enormemente!
zts17088e	(Oh. Avrei potuto anche usare qualche frase ad effetto... Ah, il mio tempismo è davvero pessimo!)
zts17089e	Spazio-tempo degli Eroi del fuoco 10
zts17090e	(Si sente un urlo atroce provenire da lontano)
zts17091e	Ehi, avventuriero, sarebbe meglio che te ne andassi.
zts17092e	Eh? Come potrei mollare tutto proprio adesso? E poi, andrei da solo? Siamo rimasti uniti e ce l'abbiamo fatta fin qui.
zts17093e	Purtroppo non puoi esserci d'aiuto, anche se la tua presenza nel gruppo, in teoria, ci farebbe comodo.
zts17094e	Per non restare vittima della Paura del drago, devi utilizzare la forza del fuoco, proprio come noi.
zts17095e	Pa... Paura del drago?
zts17096e	Il drago intimidisce i suoi avversari instillando loro un terrore tale da farli irrigidire. I comuni esseri umani non riescono a sopportare uno shock del genere.
zts17097e	Solo noi sappiamo come reagire a un trauma simile.
zts17098e	Ma...
zts17099e	Niente è impossibile. Possiamo sconfiggerlo!
zts17100e	(In quell'istante Roberto colpisce l'avventuriero alla nuca)
zts17101e	(L'avventuriero cade a terra e sente la voci come dissolversi)
zts17102e	Abbiamo collaborato solo per poco tempo, ma ti ringrazio tanto in ogni caso per ciò che hai fatto.
zts17103e	Speriamo di rivedere presto questo eroe...
zts17104e	Non dimenticarti di noi!
zts17105e	(Irene mette degli altri oggetti in mano all'avventuriero)
zts17106e	(N... nooo!)
zts17107e	(Gli occhi dell'avventuriero, poi, si chiudono)
zts17108e	Posso realizzare il Sigillo del raid di Lord Draco, se mi procuri 20 Semi della potenza, 20 unità di Sabbia del fiume di tuono e 20 Pietre Gillion.
zts17109e	Puoi ottenere il corno di basilisco a partire dal livello 80. Se me lo porti, riparerò il tuo elmo.
zts17110e	Mi serve della Sabbia misteriosa. Potrai recuperarla dai nani della sabbia presso la Piazza del Tempio. Portami quella sabbia.
zts17111e	Vuoi sfidare la sorte? Allora gioca con me per vincere l'SP Pirata! Prima però dammi una parte dell'SP Pirata e 1.000 unità d'oro!
zts17112e	Capitano Jack Panon
zts17113e	Essere un marinaio straordinario non è semplice!
zts17115e	Caccia all'inferno la ciurma del Capitano Pete O'Peng!
zts17116e	Ok, diciamo che ti credo.
zts17117e	Livello 75 - Eroi del fuoco
zts17118e	Magari ti becchi un Cappello di paglia.
zts17119e	Leona
zts17120e	Ehi, aspetta un attimo...
zts17121e	(Chi è questa donna?)
zts17122e	Vuoi sconfiggere il Capitano Pete O'Peng? Portami con te, ho un conto in sospeso con lui!
zts17124e	Non ti riguarda...
zts17125e	Eh, ma senza fiducia reciproca non possiamo affrontare una battaglia insieme!
zts17126e	Ma io ti posso aiutare! Sono la donna cecchino per eccellenza! Per ora, 100% dei bersagli colpiti!
zts17127e	No, non mi serve il tuo aiuto! Beh, ora devo andare! Ci vediamo.
zts17128e	Sì, certo! Ma... cos'è successo?
zts17156e	Non credo che possa funzionare. Servirebbe nuova ispirazione. Portami qualcosa dal Raid di Jack O'Lantern. Qualcosa che mi dia delle nuove idee.
zts17157e	In questi giorni in paese indo... indossano tutti degli elegantissimi sci... scintillanti Cappelli Zucca. Davvero mo... molto divertente. Indossane uno anche tu e mostralo a Mimi Mentor.
zts17158e	Dando la caccia ai mostri, potrai recuperare dello Sciroppo di zucca. Me ne porteresti un po', per favore?
zts17159e	Se mi porti una Borsa con dolci, potrò darti in cambio il Sigillo di Jack O'Lantern. E ti darò pure la Benedizione di Halloween.
zts17160e	Sì, mi farebbe molto piacere ricevere in cambio il Sigillo di Jack O'Lantern.
zts17161e	Se fossi al nostro posto, combatteresti contro gli scagnozzi di Jack O'Lantern?
zts17164e	Felice anno nuovo! Quali sono i tuoi propositi per il 2016?
zts17165e	Con la campanella puoi catturare Rudi, il giovane teppista, Super Babbo Opossum e altri ancora. La campanella però non funziona né con Rudi il teppista né con Rudolf ripugnante.
zts17166e	Ti darò una Scatola regalo di Natale con molti item, tutti molto utili, se mi porti 5 Calze colorate!
zts17167e	Scambia con una Scatola regalo di Natale
zts17168e	Fiocco, la Fata della neve
zts17169e	Livello 20: La famiglia dei vichinghi
zts17170e	Guarda, una fata della neve!
zts17171e	(Provo a parlare con lei.)
zts17173e	Ehi?
zts17174e	Ti prego, aiutami!
zts17175e	E quindi, che c'è? Ti hanno ferito?
zts17176e	Il mio corpo si sta sciogliendo! Per favore, dammi un paio di cubetti di ghiaccio!
zts17177e	Cubetti di ghiaccio? Quanti ne vuoi?
zts17178e	Procurane il più possibile! Per il momento comunque 5 Cubetti di ghiaccio potrebbero bastare.
zts17179e	(Porgi i Cubetti di ghiaccio a Fiocco)
zts17180e	Uff, grazie mille!
zts17181e	Come stai? Stai bene?
zts17182e	Sì, e tutti i grazie del mondo non basterebbero.
zts17183e	Potresti farmi un favore?
zts17184e	La Testa di pupazzo di neve grande e i suoi seguaci hanno attaccato il pacifico Villaggio dei Vichinghi e poi hanno risucchiato tutte le anime dei Vichinghi.
zts17185e	Ho fatto in tempo a salvare solo la famiglia di Barni e a portarla qui.
zts17186e	Purtroppo le loro anime si indeboliscono sempre di più man mano che io mi sciolgo. Potrebbero morire...
zts17187e	Come posso aiutarti?
zts17188e	Aiutami a risvegliare le loro anime.
zts17189e	Ah... ok. Ci proverò.
zts17190e	Chiedi a Malcolm come sia possibile risvegliarle.
zts17191e	Oh... è difficile. Non lo so esattamente... penso che Calvin Coach sia in grado di spiegartelo più chiaramente.
zts17192e	Perfetto, grazie.
zts17193e	Chiedi a Calvin Coach come puoi fare per risvegliare le anime della famiglia vichinga.
zts17194e	Hmm... suppongo che una melodia vichinga potrebbe risvegliarle. Ma non è sicuro.
zts17195e	Una melodia vichinga? Eh?
zts17196e	Esatto. Anche se ciò che rimane sono solo le loro anime, potrebbero risorgere se sentissero un suono familiare.
zts17197e	(Devo chiedere a Fiocco informazioni sulla melodia vichinga.)
zts17198e	Hai trovato un modo?
zts17199e	Sì. Ho scoperto che una melodia vichinga potrebbe risvegliarli. Ma non è sicuro che funzioni.
zts17200e	Barni e i suoi familiari sono vichinghi. Forse per melodia vichinga si intende il suono di un Corno da richiamo.
zts17201e	Aha! Andrò subito a recuperarne uno.
zts17202e	Vai, presto!
zts17203e	Che cosa ti serve?
zts17204e	Il Corno da richiamo dei Vichinghi.
zts17205e	Io tratto solo armi e pezzi di equipaggiamento. Comunque, ne produrrò uno apposta per te.
zts17206e	Eheh... immagino però che non lo faccia gratis, mi sbaglio?
zts17207e	Ahah! Esattissimo! In ogni caso dovrai procurarmi i materiali utili per realizzarlo.
zts17208e	Cosa ti servirebbe?
zts17209e	Ho bisogno di 5 unità di Legno normale, 5 unità di Pelle normale e 20 unità di Sabbia del fiume di tuono. Hop, hop, dai, muoviti!
zts17210e	OK, ora vado!
zts17211e	Ah, wow quando si dice la rapidità!
zts17212e	Eheh... è una costante. Aspetterò qui.
zts17213e	(Sembra essere passata un'eternità, ma alla fine Teoman mi consegna il corno.)
zts17214e	Ecco qui!
zts17215e	Da paura! Grazie, grazie mille.
zts17216e	Ah, di niente. Ma la prossima volta vedi di portami armi o pezzi di equipaggiamento.
zts17217e	Fiocco, ho trovato il Corno da richiamo!
zts17218e	Splendide notizie! Ah, meno male che sei qui, le anime di Barni e dei suoi familiari sono molto deboli.
zts17219e	Se si aspetta ancora molto, le loro anime rischiano di disgregarsi.
zts17220e	Allora facciamo presto, vediamo di risvegliarle!
zts17221e	Soffia nel Corno da richiamo e dirigilo verso di me!
zts17222e	Buuhuuuhuuu!
zts17223e	(Un attimo dopo appaiono 3 sfere di luce e con loro anche le anime della famiglia di vichinghi)
zts17224e	Uuuh!
zts17225e	Nemici in vista! Vi spiezzo in due!
zts17226e	Tesoro, calmati!
zts17227e	Wow, sono davvero coraggiosi, proprio dei veri Vichinghi!
zts17228e	Barni!
zts17229e	Fiocco!?
zts17230e	Oh Fiocco, sono così felice di incontrarti, qui in cielo.
zts17231e	Barni! Guardati attorno. Non siamo in cielo.
zts17232e	Ah... vero.
zts17233e	Raccontaci cos'è successo.
zts17234e	Fiocco è riuscita a sfuggire alla Testa di pupazzo di neve grande... con le vostre anime.
zts17235e	In ogni caso, la situazione era molto critica. Le vostre anime sarebbero morte se il corpo di Fiocco si fosse sciolto.
zts17236e	Allora lei mi ha chiesto se avrei potuto aiutarla.
zts17237e	Ah, ora capisco.
zts17238e	Fiocco, avventuriero, grazie per aver salvato me e la mia famiglia.
zts17239e	Barni, hai degli amici davvero speciali!
zts17240e	Eheh! Sì!
zts17241e	E ora è arrivata l'ora della vendetta.
zts17242e	Ehi, avventuriero! Ora torniamo al Villaggio dei Vichinghi e ci vendicheremo del Pupazzo di neve grande!
zts17243e	È un segno della Divina Provvidenza! Ho fiducia in te. Aiutaci ad annientare i mostri! Andremo avanti noi, tu seguici.
zts17244e	(Prima che tu possa rispondere le loro anime scompaiono)
zts17245e	Oh... sarò davvero in grado di aiutarli?
zts17246e	(Racconti a Fiocco, la Fata della neve, la tua esperienza nello Spazio-tempo)
zts17247e	Oh, è molto triste. Magari li rincontrerò in cielo?
zts17248e	Saranno sempre vivi nel mio ricordo.
zts17249e	Con la forza delle loro anime potenzieranno il mio compagno.
zts17250e	Ah, avventuriero, abbi cura del mio amico Barni.
zts17251e	Lo farò, non preoccuparti.
zts17252e	Ops! Non posso più restare. Il Pupazzo di neve grande è arrivato qui tramite lo Spazio-tempo.
zts17253e	Sconfiggerò quel mostro insieme ai miei amici!
zts17254e	Fiocco, audace creatura! Spero che ci rivedremo.
zts17255e	Innanzitutto devo chiedere a Malcolm Mix.
zts17257e	Wow, qui c'è tantissima neve.
zts17258e	Splendido, farò un bellissimo pupazzo di neve.
zts17259e	(Non avevi molto tempo per fare un pupazzo di neve)
zts17260e	Accidenti, non ho tempo per questi giochetti. La famiglia dei Vichinghi ha bisogno del mio aiuto.
zts17262e	(Mmh, i piccoli pupazzi di neve sembrano delle miniature del disgustoso Pupazzo di neve grande)
zts17264e	(Uff, è stata dura. Non avrei mai creduto che potesse sferrare un attacco così violento.)
zts17265e	Sarà sempre più difficile se non troverò al più presto la famiglia dei Vichinghi.
zts17267e	Ah, eccovi!
zts17268e	Perché hai tardato tanto? Stavi giocando con la neve?
zts17269e	Oh, certo che no. *sogghigna*
zts17270e	Il tuo balbettio non mi convince.
zts17271e	Idiota! Non importa.
zts17272e	Non importa. Ti do il benvenuto, avventuriero! Hai avuto problemi per arrivare fin qui?
zts17273e	Ah, lasciamo perdere, evitiamo di parlarne. È stato veramente difficile, mi hanno attaccato tanti piccoli pupazzi di neve.
zts17274e	Non preoccuparti. Li farò roteare in aria con la mia padella!
zts17275e	E io li stenderò con il mio arco!
zts17276e	Hihihi! E io gli mostrerò la forza del Vichingo d'acciaio!
zts17277e	Oh, credo che non avrò alcuna possibilità di eliminare i mostri.
zts17278e	Ahahah! Puoi anche semplicemente fare il tifo per noi.
zts17280e	Scherzo! Hai dato prova di avere ottime doti di combattente.
zts17281e	Credevo che tu fossi debole, ma di fatto hai dimostrato molto talento in battaglia.
zts17282e	Ho notato che possiede coraggio e audacia degli antichi vichinghi.
zts17283e	Ahahah. Mi ricordo quando ha affermato che gli sembrava impossibile riuscire a battere i mostri.
zts17284e	(Sto arrossendo. Che vergogna)
zts17285e	Adesso basta. Presto, dobbiamo andare avanti.
zts17286e	Perché tanta timidezza?
zts17288e	Barni chi ti ha insegnato a usare l'arco in questo modo?
zts17289e	Mio padre, naturalmente.
zts17290e	Oh, hai davvero talento.
zts17291e	Eheh, lui ha ancora più talento nel definire "infantili" le mie capacità.
zts17292e	Madre!
zts17294e	Da voi di solito c'è molta neve?
zts17295e	Per niente! E questo a causa di quella grossa e disgustosissima Testa di pupazzo di neve grande!
zts17296e	Perché? Ti piace così tanto la neve?
zts17297e	No, tutt'altro.
zts17298e	(Quando dico la verità, diventano tutti seri)
zts17300e	(Tutt'intorno ci sono moltissimi pupazzi di neve)
zts17301e	Accidenti, quanti sono!
zts17302e	Non riesco a crederci... Anche l'ultima volta è stato così?
zts17303e	Padre...
zts17304e	Proprio mentre tutti cominciano a sentirsi perduti, compaiono delle Fate della neve con un lampo di luce.
zts17305e	Ci manda Fiocco, siamo qui per aiutarvi. Andate al villaggio, ci occuperemo noi dei mostri.
zts17306e	Sono tutte identiche a Fiocco.
zts17308e	Ohoh... e chi abbiamo qui? Degli eroi vichinghi, giusto?
zts17309e	Tu...
zts17310e	Ahah, che peccato!
zts17311e	Non posso combattere contro di voi, anche se avete fatto tanta strada.
zts17312e	Il coraggio non è di casa dalle tue parti, eh? Che fai, scappi?
zts17313e	Muahaha... scappare? Davvero divertente! Non ho paura di voi!
zts17314e	Oh... sembra piuttosto pericoloso.
zts17315e	(Chi? Io?)
zts17316e	Maledizione, di nuovo! Avanti, vieni ad assaggiare la mia ascia!
zts17317e	La tua stupidità è da manuale! Dai, vieni a giocare con i miei compagni! Io me ne andrò nello Spazio-tempo ad assimilare ancora più anime!
zts17318e	Oh mio Dio! Dei Vichinghi! A NosVille?
zts17319e	Muahaha... NosVille è da quella parte?
zts17320e	Grazie per l'indicazione!
zts17321e	Stupidi Vichinghi! Vi estinguerete se continuate così!
zts17322e	Estinguerci? Di cosa stai parlando?
zts17323e	Certo, certo. Lo sappiamo.
zts17324e	Okay. Quindi non vedete l'ora di vendicarvi?
zts17325e	Vediamo... al momento ho molto da fare. Si occuperanno di voi i miei seguaci!
zts17326e	Wuuuuaaaahhhh!
zts17327e	Aspetta!
zts17328e	(L'ascia di Aegir fende l'aria)
zts17329e	Acc..., dannazione!
zts17330e	(La Testa del pupazzo di neve grande dice che le anime della famiglia di Barni si estingueranno. Chissà cosa succederà… Ci penserò dopo aver eliminato i mostri.)
zts17332e	Ehi Aegir! Cosa significa "estinzione delle anime"?
zts17333e	Beh sì, è vero...
zts17334e	... le nostre anime sono destinate a morire.
zts17335e	Oh.
zts17336e	Ormai noi Vichingi abbiamo esaurito le nostre forze. Moriremo se combattiamo contro il pupazzo di neve.
zts17337e	Madre, padre... non ho rimpianti.
zts17338e	Ci credo, figlio mio!
zts17339e	Che tristezza... neanche io riesco a sopportare tanto.
zts17340e	Ehi, non piangere!
zts17341e	Non piangere, avventuriero!
zts17342e	*singhiozza* Non piangere, testolina vuota! Ehi, non piangere!
zts17343e	Cosa dovrei dire a Fiocco?
zts17344e	Dille solo: "Arrivederci, amica mia!"
zts17345e	Avventuriero! Lo giuro sul mio sacro nome vichingo AEGIR:
zts17346e	Anche se ciò che resterà della nostra famiglia saranno solo le anime, veglieremo sempre su di te!
zts17347e	Prima che le nostre anime scompaiano definitivamente, uniremo le nostre forze e te le trasmetteremo.
zts17348e	*singhiozza* Di cosa state parlando?
zts17349e	Ma non possiamo dividerci in questo modo!
zts17350e	Questo non è un addio!
zts17351e	Al contrario, in questo modo resteremo uniti per sempre.
zts17352e	Eheh, così potremo rivederci, prima o poi. Vedi di usare le mie capacità quando combatti contro qualcuno che è molto abile con arco e frecce.
zts17353e	Arrivederci...
zts17354e	(Le anime dei Vichinghi si tramutano in stelle e scompaiono subito dopo)
zts17355e	(Ora sono qui, in completa solitudine. C'è solo neve. Ma non sento più freddo: la famiglia di Barni sarà sempre con me.)
zts17356e	Cubetti di ghiaccio? Forse potrei dare la caccia ai mostri di Glacernon. Quanti ne vuoi?
zts17363e	Con questo item, puoi evocare Rudi il giovane teppista, il Super Babbo Opossum, lo Yeti addomesticato e altri mostri. Poi, con una campanella potrai addomesticarli. Purtroppo, non funziona su Rudi il teppista e su Rudolf ripugnante.
zts17364e	Non esiste posto al mondo in cui si possa avere un pranzo gratis. Ho tutti i materiali necessari per la produzione. Portami in cambio qualcosa che mi può servire e io ti fabbricherò un Corno da richiamo.
zts17365e	Che cosa ti serve?
zts17366e	Vorrei fare qualche regalo a delle persone che non hanno una famiglia e trascorreranno il Natale da sole.
zts17367e	Portami per favore 5 Torte al cioccolato e 5 Torta alla panna.
zts17368e	Wow! Potrà davvero bastare?
zts17369e	Certo.
zts17370e	Ok, lo farò!
zts17371e	Ecco le lettere che formano la parola (10) H.A.P.P.Y!
zts17372e	Ho recuperato le lettere per (10x) "New Year"!
zts17375e	Felix Gelo
zts17376e	Livello 75: Glacerus, il gelido
zts17377e	Vai alla Grotta di Glacerus
zts17378e	Crea Sigillo del raid
zts17379e	Cosa ti interessa sapere?
zts17380e	Dimmi qualcosa su Glacerus, la bestia gelida.
zts17381e	Come hai fatto ad arrivare a Desert Eagle City?
zts17382e	Come posso ottenere il Sigillo del Raid di Glacerus?
zts17383e	Secondo alcune fonti, Glacerus in passato avrebbe sepolto il mondo intero nella neve e nei ghiacci.
zts17384e	Ho raggiunto le zone più impensabili per trovare il modo di neutralizzare la maledizione di Glacernon. Alla fine, il destino mi ha portato qui a Desert Eagle City.
