zts1e	Teos Werkzeugladen
zts15556e	Level 81 - Jede Wirkung hat eine Ursache
zts15557e	Level 82 - Der Anführer der Wüstenräuber
zts15558e	Velmon (Quest)
zts15559e	Level 80 - Zeit für Verteidigung
zts15560e	Level 82 - Der Schrecken der Zone des Chaos
zts15561e	Repräsentant Rushaldin (Quest)
zts15562e	Kerus merkwürdige Truhe (Quest)
zts15563e	Hohepriester Eladin (Quest)
zts15564e	Level 78 - Die Geister des Asterinnenhofs
zts15565e	Level 78 - Das Chaos des Astertempels
zts15566e	Level 78 - Das Relikt der Ideen
zts15567e	Möge der Segen des Sonnengottes mit dir sein. Ich würde dich gerne von deinen Sorgen befreien ...
zts15568e	Zerknüllte Notiz (Quest)
zts15569e	Gefangener Sharif (Quest)
zts15570e	Zerbrochenes Reliktstück (Quest)
zts15571e	Priesterin Vera (Quest)
zts15572e	Meine Aufgabe hier im Astertempel ist es, Hohepriester Eladin zu assistieren.
zts15573e	Priesterin Nora (Quest)
zts15574e	Zerbrochene Relikte (Quest)
zts15575e	Empfangsdame Serena (Quest)
zts15576e	Level 78 - Der verschwundene Ermittler
zts15577e	Level 79 - Die Untersuchung des Tempelplatzes
zts15578e	Level 79 - Die wahre Natur des Tempelplatzes
zts15579e	Level 79 - Der Wächter des Rashidtempels
zts15580e	Level 79 - Das Relikt des Rashidtempels
zts15581e	Level 79 - Das Geheimnis des Rashidtempels
zts15582e	Michol (Quest)
zts15583e	Riana (Quest)
zts15584e	Brief an den Wüstenräuberanführer (Quest)
zts15585e	Kamil (Quest)
zts15586e	Tagebuch des Reisenden (Quest)
zts15587e	Flasche mit der wild machenden Droge (Quest)
zts15588e	Paul (Quest)
zts15589e	Level 81 - Wiederbeschaffung des Diebesgutes
zts15590e	Delmon Milow (Quest)
zts15591e	Level 81 - Der gemeine Diebstahl
zts15592e	Archäologe (NPC für die Untersuchung von Relikten)
zts15593e	Relikte untersuchen
zts15594e	Gibt es etwas, das du wissen möchtest?
zts15595e	Woher bekommt man Relikte?
zts15596e	Was sind Relikte?
zts15597e	Was ist ein Talisman?
zts15598e	Viele der Relikte wurden von den Wüstenräubern entwendet. Niemand weiß warum sie sie stehlen.
zts15599e	Gehe auf die Jagd nach Wüstenräubern, um Relikte zu erhalten. Bringe sie anschließend zu mir, damit ich sie untersuchen kann.
zts15600e	Ich habe bereits einige Relikte untersucht, die von Abenteurern wiederbeschafft wurden, und konnte darunter einige Edelsteine und Talismane entdecken.
zts15601e	Ich konnte zwar noch nicht herausfinden, worum genau es sich dabei handelt, aber wenn du mir weitere Relikte bringst, werde ich sie ebenfalls untersuchen.
zts15602e	Ein Talisman ist ein spezielles Relikt, das von einer besonderen antiken Macht erfüllt ist.
zts15603e	Die Menschen haben sie einst mit Hilfe von Magie zu ihrem Schutz angefertigt.
zts15604e	Sie sind sehr alt und äußerst zerbrechlich. Außerdem verfügen sie über weniger gute Eigenschaften als andere magische Gegenstände. Aber es sind eben Antiquitäten.
zts15605e	Deshalb sind sie auch so wertvoll.
zts15606e	Kupfernes Emblem tauschen
zts15607e	Münzen eintauschen
zts15608e	Gibt es etwas, dass du über die Patrouille der Akamurhändler wissen möchtest?
zts15609e	Was für eine Aufgabe hast du?
zts15610e	Wir sind die Patrouille der Akamurhändler.
zts15611e	Wir sind sowohl für die Sicherheit der Akamurhändler zuständig, als auch für die der Wüstenadlerstadt.
zts15612e	Durch den Krieg mit den Wüstenräubern fehlen uns momentan einige Kapazitäten.
zts15613e	Da die Akamurhändler momentan Probleme mit den Wüstenräubern haben, bieten andere Helfer vielerlei Dinge für den täglichen Bedarf an.
zts15614e	Wenn du Wüstenräuber erledigst und das kupfere Emblem zu mir bringst, dann werde ich dir als Zeichen meiner Dankbarkeit Waren des täglichen Bedarfs überreichen.
zts15615e	Silbernes Emblem tauschen
zts15616e	Gibt es einen Grund die Akamurhändler treffen zu müssen?
zts15617e	Besteht eine Möglichkeit, die Waffen zu erhalten, die von der Patrouille genutzt werden?
zts15618e	Ich bin Verwaltungssoldat. Ich kümmere mich um das Rekrutieren von neuen Soldaten für die Patrouille und um die Versorgung der Soldaten.
zts15619e	Wir versorgen nicht nur die Patrouille der Akamurhändler mit Waffen und anderen Ausrüstungsgegenständen, sondern auch all die anderen Helfer der Akamurhändler, die von außerhalb kommen.
zts15620e	Über die Waffen solltest du nicht mit mir sprechen, sondern mit Versorgungsoffizier Ulman nebenan.
zts15621e	Goldenes Emblem tauschen
zts15622e	Gibt es einen Grund, die Akamurhändler treffen zu wollen?
zts15623e	Ich bin Versorgungsoffizier Ulman von der Patrouille der Akamurhändler.
zts15624e	Natürlich ist das möglich. Dafür musst du dich aber erst an den Kämpfen der Akamurhändler gegen die Wüstenräuber beteiligen.
zts15625e	Vorher musst du uns aber erst einmal beweisen, dass du der Patrouille der Akamurhändler nützlich sein kannst.
zts15626e	Wenn du den Anführer der Wüstenräuber überwältigst und das goldene Emblem mitbringst, werde ich es dir gegen Waffen eintauschen.
zts15627e	Gartons merkwürdige Truhe (Quest)
zts15628e	Level 76 - Kenne deinen Feind so gut wie dich selbst 5
zts15629e	Level 76 - Kenne deinen Feind so gut wie dich selbst 6
zts15630e	Akt 5 - Eine Schifffahrt, die ist lustig ...
zts15631e	Auf zum Wüstenhafen Mortaz
zts15632e	Willkommen im tiefen Süden der Mortaz-Wüste, Abenteurer.
zts15633e	Denkst du, du wirst dich in die Mortaz-Wüste wagen?
zts15634e	Das Schiff wird über die südliche Handelsroute zur Mortaz-Wüste übersetzen.
zts15635e	Derzeit ist die Mortaz-Wüste wegen den Übergriffen der Wüstenräuber ein gefährlicher Ort.
zts15636e	Aus Sicherheitsgründen ist die Überfahrt nur für Spieler ab Level 70 zu empfehlen.
zts15637e	Alle 5 Minuten legt ein Schiff ab. Wenn du schon früher an Bord gehst, musst du bis zur Abfahrtszeit auf dem Schiff warten.
zts15638e	Die Überfahrt kostet 30.000 Gold. Bitte überprüfe vorher, ob du über ausreichend Gold verfügst, da der Betrag beim Ablegen gezahlt werden muss.
zts15639e	Solltest du an Bord gehen, ohne ausreichend Gold dabei zu haben, wirst du des Schiffes verwiesen! Hast du das verstanden?
zts15640e	Akt 5 - Port Alveus
zts15641e	Möchtest du nach Port Alveus zurückkehren? Bei der Überfahrt von Port Alveus hierher ist die Rückreise bereits im Preis inbegriffen, du musst daher nicht erneut bezahlen. Sollen wir gleich ablegen?
zts15642e	Ja, lass uns ablegen.
zts15643e	Ich muss noch etwas erledigen.
zts15644e	Akt 5 - Verlassen des Schiffes
zts15645e	Wir werden bald ablegen.
zts15646e	Bitte überprüfe noch einmal, ob du nichts vergessen hast.
zts15647e	Restaurant (Koch)
zts15648e	Elias (Waffenladen)
zts15649e	Eldin (Alchemist)
zts15650e	Gibt es etwas, dass du wissen möchtest?
zts15651e	Eine Frage zum Amulett der Heimkehr und dem Amulett der Heimkehr für die Wüste.
zts15652e	Eine Frage zum Amulett der Rückkehr
zts15653e	Das Amulett der Heimkehr kannst du in der Mortaz-Wüste nicht benutzen. Wie kann das sein?
zts15654e	Wenn man das Amulett der Heimkehr nicht benutzen kann, wie kann man dann zum Dorf zurückkehren?
zts15655e	An welchen Ort gelangt man mit dem Amulett der Heimkehr (Wüste)?
zts15656e	Da die Mortaz-Wüste momentan unter dem Einfluss des brennenden Schwertes liegt, kannst du einen Teil der magischen Gegenstände, die du in NosVille verwendet hast, nicht benutzen.
zts15657e	Bisher war es nicht möglich, das Amulett der Heimkehr zu benutzen. Auch einige andere magische Gegenstände funktionieren manchmal nicht so richtig. Es ist eine unglückliche Situation.
zts15658e	Um dieses Problem zu lösen, haben die Priester vom Astertempel das Amulett der Heimkehr (Wüste) gesegnet.
zts15659e	In der Wüste kannst du das Amulett der Heimkehr (Wüste) benutzen.
zts15660e	Wenn du das Amulett der Heimkehr (Wüste) benutzt, gelangst du zum Wüstenhafen Mortaz. Solltest du aber die Teleportationstürme im Akamurlager oder in der Wüstenadlerstadt als Ort der Rückkehr festlegt haben, kannst du auch dorthin gelangen.
zts15661e	Ich sage es nur, weil ich denke, dass es dich vielleicht interessiert. Wenn du allerdings mit dem Schiff nach Port Alveus zurück fährst, kannst du von dort aus das Amulett der Heimkehr (Wüste) nicht mehr verwenden.
zts15662e	Kann man das Amulett der Rückkehr in der Mortaz-Wüste benutzen?
zts15663e	Als ich das Amulett der Rückkehr benutzt habe, zeigte es keine Wirkung.
zts15664e	Das kann nicht sein. Anders als das Amulett der Heimkehr kannst du das Amulett der Rückkehr wie zuvor benutzen.
zts15665e	Du kannst nicht von der Mortaz-Wüste nach NosVille zurückkehren.
zts15666e	Bedenke, dass ihr den Rückkehrort nicht miteinander teilen könnt, wenn ihr euch an unterschiedlichen Orten aufhaltet.
zts15667e	Teleportationsturm (Akt 5 - Hafen)
zts15668e	Akamurlager (5.000 Gold)
zts15669e	Wüstenadlerstadt (10.000 Gold)
zts15670e	Teleportationsturm (Akt 5 - Akamurlager)
zts15671e	Wüstenhafen Mortaz (0 Gold)
zts15672e	Teleportationsturm (Akt 5 - Wüstenadlerstadt)
zts15673e	Akt 5 - Krämer
zts15674e	Akt 5 - Bastler
zts15675e	Dort, in der Wüste, greifen agressive Kreaturen unsere Kakteen an und vernichten unsere Ernte.
zts15676e	Sie haben bereits einen großen Teil unserer Kaktusfeigen vernichtet und es ist nicht mehr viel übrig. Wir können das nicht einfach so hinnehmen! Bitte gehe zur Hafenumgebung und erledige die Monster die unsere Ernte auffressen.
zts15677e	Was ist das? Eine angebissene Kaktusfeige? Die Füchse sind also an der Zerstörung unserer Ernte schuld.
zts15678e	Die Kaktusfeigen sind die Spezialität der Bewohner des Wüstenhafen Mortaz. Vor kurzem wurde ein Sack voller Kaktusfeigen gestohlen, aber dieser soll sich angeblich noch hier im Hafen befinden. Erledige weitere Kreaturen um weitere Informationen darüber zu erlangen.
zts15679e	Sie sind es auf jeden Fall gewesen! Die Wüstenräuber haben Schuld an allem! Gehe Richtung Norden zu Neils Lagerumfeld. Dort wirst du Neils Spähtrupp finden. Erledige die Räuber des Spähtrupps und suche den Sack mit den Kaktusfeigen. Das ist der Beweis ihrer Schuld!
zts15680e	Die Patrouille der Akamurhändler kann nichts anderes tun, als zu versuchen den Hafen zu verteidigen. Leider haben wir zu wenig Wachen. Es ist eine schlimme Situation für die Hafenbewohner. Deshalb muss ich dich um ein wenig Hilfe bitten. Bitte erledige die Wüstenräuber!
zts15681e	Wenn du von der Hafenumgebung aus nach Norden gehst, wirst zu einem Ort gelangen den man Neils Lager nennt. Nimm diesen Brief und überbringe ihn an Hamid, der sich auf dem Weg dorthin versteckt hält. Er wird dir weitere Anweisungen geben.
zts15682e	Hat dich Hafenwache Tom geschickt? Zeig mir bitte den Brief den du mitgebracht hast.
zts15683e	Gut gemacht! Leider wurden noch nicht alle Wüstenräuber unschädlich gemacht und der Hafen Mortaz wird weiter bedroht. Ich erinnere mich daran, was Hafenwache Tom vor einiger Zeit zu mir sagte.
zts15684e	Wenn ein Jäger seine Beute jagt, dann verlässt er sich nicht nur auf sein Glück. Er hat einen Plan. Was ich damit sagen will, die Wüstenräuber haben auf jeden Fall einen Plan, nach dem sie handeln.
zts15685e	Gute Neuigkeiten! Während du auf der Jagd nach Neils Elite-Zündlern warst, habe ich eine Nachricht erhalten. Kommandant Neil soll vor einigen Tagen den Befehl erhalten haben, den Hafen in Schutt und Asche zu legen. Gehe sofort zu Niels Lager, entwende den Angriffsbefehl und bring ihn zu Hafenwache Tom.
zts15686e	(Hafenwache Tom liest das Auftragsschreiben und grinst.)
zts15687e	Hamid braucht deine Hilfe in Neils Lagerumfeld. Er ist der Assistent von Hafenwache Tom und wurde dorthin geschickt um nachkommenden Abenteurern zu Seite zu stehen und ihnen wichtige Informationen zu geben. Gehe zu ihm, er wird dir alles weitere erzählen.
zts15688e	Das Akamurlager ist der Mittelpunkt zwischen dem Hafen und der Wüstenadlerstadt.
zts15689e	Dieser muss unbedingt vor den Kreaturen geschützt werden. Bringe den Aufklärungsbericht zu Noah, der sich im Akamurlager aufhält. Er wird dir dafür sehr dankbar sein! Verlasse den Hafen und gehe in Richtung Westen, um zum Lager zu gelangen.
zts15690e	Die Wüstenräuber werden sich noch wundern! Warte kurz, ich habe noch eine Aufgabe für dich!
zts15691e	Da Neils Wüstenräuber in Neils Lager ihren Verstand verloren haben, ist es an der Zeit für uns die Befehlsliste des Kommandanten zu stehlen. Wir werden sie mit einer gefälschten Liste austauschen und so für Verwirrung sorgen.
zts15692e	Wir müssen den Schlüssel suchen! Vielleicht hat Neils Wärter den passenden Schlüssel, um die Schlösser öffnen zu können.
zts15693e	Er hält sich ganz in der Nähe auf. Erledige ihn und bring mir seinen Schlüssel. Bitte beeil dich!
zts15694e	Ich möchte, dass du zunächst die Hafenumgebung nach den Handelswaren absuchst.
zts15695e	Diesmal handelt es sich um die zerstörten Handelsgüter. Um sie zu finden musst du zu Neils Lagerumfeld gehen. Im Chaos des Angriffs konnten die Wüstenräuber nicht auf die Waren achten. Bitte suche sie und bringe sie zu Hamid.
zts15696e	Viele Waren haben wir noch nicht wiedergefunden, und unsere Kunden warten auf ihre Güter. Nimm diese Belohnung als Dank der Akamurhändler.
zts15697e	Wie Noah bereits erwähnt hat, stecken wir gerade in einer Krise, für die wir keine Lösung finden.
zts15698e	Informationen zufolge verschwinden Waren aus den Händlerlagern Ost und West. Bitte bring die Güter wieder zurück!
zts15699e	In Kerus Lagerumfeld, südlich vom Händlerlager West, gibt es komische Vorkommnisse. Wir haben den Verdacht, dass sie die Handelsartikel der Akamurhändler gestohlen haben. Erledige die Wüstenräuber und beschaffe die Waren.
zts15700e	Sie bringen die Handelsgüter der Akamurhändler an einen versteckten Ort, der sich in Kerus Lagerumfeld befindet. Beschaffe die Waren unserer Händler!
zts15701e	Beseitige die Sturmsand-Prädatoren, die sich in Melkis Lagerumfeld und dem östlichen Händlerlager befinden. Durch deine Hilfe werden wir schon bald unsere Handelsreisen fortsetzen können.
zts15702e	Glauben die Wüstenräuber, wir würden nichts dagegen unternehmen? Es gibt viel, worüber wir uns Gedanken machen müssen.
zts15703e	Unser Ziel ist es, Melkis Lager unschädlich zu machen. Wir verfügen zwar nicht gerade über viele Streitkräfte, doch ich denke, wenn es uns gelingt, die Verbindungen zwischen Melkis Lager und den übrigen gegnerischen Streitkräften zu blockieren, haben wir eine Chance.
zts15704e	Wirf einen Blick auf deine Karte. Der schnellste Weg vom Akamurlager zu Melkis Lager ist die Handelsstraße, die durch das östliche Händlerlager führt. Momentan wird das Händerlager aber von Monstern belagert. Um unseren geplanten Angriff auf Melkis Lager durchführen zu können, muss die Route sicher sein. Erledige die Monster die uns den Weg versperren!
zts15705e	Unser Ziel ist es Kerus Lager anzugreifen und ihn unschädlich zu machen. Erledige erst einmal die Wüstenräuber, die sich in seinem Lager rumtreiben und anschließend den Kommandanten Keru.
zts15706e	Solltest du Schwierigkeiten mit diesem Auftrag haben, nimm ein paar Verbündete mit zu Kerus Lager.
zts15707e	In letzter Zeit werden die Übergriffe der Wüstenräuber immer heftiger. Das entwickelt sich zu einem großen Problem. Ich bin sehr besorgt darüber, aber als einer der Anführer der Akamurhändler muss ich Mut und Stärke zeigen.
zts15708e	Ich muss dich im Namen der Akamurhändler um einen Gefallen bitten. Gehe zu meiner Assistentin Semia und erhalte weitere Anweisungen von ihr.
zts15709e	Gartons Lager ist zuständig für die Blokade der Wüstenadlerstadt. Zu ihrer Sicherheit muss das Lager vernichtet werden. Um einen Angriff zu planen benötige ich Informationen vom Spähtrupp.
zts15710e	Diese Informationen sind sehr interessant!
zts15711e	Das sind wirklich gute Neuigkeiten! Wir haben jemanden gefunden, der gute Beziehungen zu den Wüstenräubern pflegt. Es handelt sich um Velmon. Uns ist nicht wichtig, was er in der Vergangenheit getan hat. Wir brauchen ihn nur um mit den Wüstenräubern verhandeln zu können. Ich habe bereits alle Vorbereitungen getroffen. Bringe dies zu Velmon in die Zone des Chaos.
zts15712e	Ich habe dir die Dinge aufgeschrieben, die du ihm sagen sollst. Du wirst ihn im Wüstenräuberlager finden, das sich nördlich vom Akamurlager befindet.
zts15713e	Hast du etwa eine Nachricht von meinem Freund Velmon? Warte einen Moment, ich werde sie lesen, dann können wir reden.
zts15714e	Die Probleme mit den Wüstenräubern werden sich leider nicht schnell lösen lassen. Das wird sehr lange dauern. Sie werden weiterhin Angriffe auf die Akamurhändler ausführen. Wenn du weiterhin unentdeckt mit mir in Kontakt treten willst, solltest du Shays und Shorans Räuber beseitigen.
