zts1e	Teo's Tool Shop
zts15018e	Take this knapsack to Serena in the Treasure Hunter Camp.
zts15019e	Are you having any success exploring Rashid Temple?
zts15020e	Wouldn't it be wonderful if we could discover all the relics' secrets!
zts15021e	It will take a little more time to thoroughly examine the relics. The story of this mysterious traveller is interesting. Without his help, we wouldn't have found the temple site. His information was very advantageous to us.
zts15022e	But it still annoys me that he stole one of the fire god relics. You don't need to concern yourself with that, though, now you've finished this.
zts15023e	Take this report to Riana. It may not look like it, but she'll find it interesting.
zts15024e	What's the matter? I'm busy, very busy! So if you need to tell me something, make it quick!
zts15025e	These reports just keep piling up! But your report looks interesting. Just put it down here. The treasure hunters are very grateful for your help.
zts15026e	Act 5 - The Burning Sword and a Man Named Xavier
zts15027e	Would you like to make yourself useful in the Chaos Zone? Don't you think it's pointless?
zts15028e	If you're not too busy, do me a favour. I'm going to give you a very important letter to bring to Velmon in the Chaos Zone. The letter says that he has to finally settle his drinking debts. He's an old friend of mine, so he'll do what I ask him right away.
zts15029e	Who are you? Are you assisting the Chaos Zone patrol?
zts15030e	So Xavier sent you?
zts15031e	Xavier used to be a very ambitious person. But after being kicked out of our organisation, it seems his ambition has somewhat waned. After getting himself drunk every day, he's no longer willing to perform work of any kind. I do hope he finds his lust for life again.
zts15032e	I recently learned a few magic spells from a travelling sorcerer. It should help reawaken a love for life. I would like to try them out on Xavier.
zts15033e	For this spell, I'm going to need a few things. What you could get for me is a mysterious ingredient called Sand Spirit Essence.
zts15034e	I think you can get it easily from the monsters in the Chaos Environment. Can you manage that?
zts15035e	It is said that every living thing in Mortaz Desert carries this essence within it, but the essence of the monsters is supposed to be especially valuable.
zts15036e	Have you brought the sand spirit essence?
zts15037e	Of course, I can't say with any certainty if this really is Sand Spirit Essence. But since you've taken the effort to bring it to me, I'll use it as an ingredient for the spells.
zts15038e	Could you also bring me some Wind Spirit Essence? Like the Sand Spirit Essence, it's something that drives every living thing. You should have a pretty high chance of finding it in the Chaos Environment.
zts15039e	However, you should be able to find a lot of Wind Spirit Essence in the Lost Desert. Since I'm not particularly well versed in magic, I usually ask the adventurers who pass by here whether they have information for me.
zts15040e	Now make your way to the Lost Desert and bring me back the Wind Spirit Essence.
zts15041e	The wind spirit essence... Did you find it yet?
zts15042e	So that's the Wind Spirit Essence... I think this should be enough for the spell.
zts15043e	That should be all of the ingredients. There's only one more thing I need. We need to mix the ingredients with some rum so that Xavier won't notice.
zts15044e	Not long ago I ordered some expensive Port Alveus rum from the Akamur Merchants. We could use it for this.
zts15045e	Unfortunately, there's just one little problem: the Desert Robbers have stolen it. It's probably in Garton's Camp. There's supposedly some Fairy Dust there as well. You might as well bring them both with you.
zts15046e	Since our patrol doesn't have the manpower to send to Garton's Camp, I'm going to have to ask you to show your full dedication once more.
zts15047e	Did you search Garton's Camp thoroughly? If the Akamur Merchants' are to be believed, it really should be at his camp.
zts15048e	That's Xavier's favourite rum.
zts15049e	I've mixed together the Sand and Wind Fairy Essences and added a sprinkling of Fairy Dust to it. I'll leave the stirring up to you.
zts15050e	When you're finished stirring it, go to High Priest Eladin at Aster Temple. He'll be able to complete the spell. Put the mixture in this container and go. There are a few other things in there I'd like to send to Eladin. But please don't go rummaging about in them.
zts15051e	My old friend Velmon needs my help and sent you here. Did he give you something for me?
zts15052e	Do the contents of this container have something to do with you?
zts15053e	(High Priest Eladin takes the rum from the container and mumbles something to himself.)
zts15054e	It's a very special charm. The rum is for Xavier in the Chaos Zone, isn't it? I hope that this makes the darkness in his heart disappear. But whether or not his attitude changes is up to him.
zts15055e	Take the rum to Semia in the Akamur Quarter. She'll wrap up the rum nicely, as per Velmon's orders.
