zts1e	Milano Tool Shop (Use)
zts5054e	Around here somewhere. If I meet Kung beforehand, I will tell him your story.
zts5055e	Yes. Please.
zts5056e	Hurry up and find Kung!!
zts5057e	Where do we have to go now?
zts5058e	East.. It's around here.. It's called the 'Corridor of Whirl'.
zts5059e	Corridor of Whirl?
zts5060e	I don't know any more than this. The place is under a veil. The only sure thing is that it's very very dangerous to go in there.
zts5061e	Then, I better be ready for it.
zts5062e	It's strange. I can't go forward. This mysterious magic power. Hmm. Raul may know about this.
zts5063e	(Explaining what has happened so far.)
zts5064e	Ahh. Sorry. Do you know the Holy-red branch?
zts5065e	Holy-red branch? What is that?
zts5066e	The branch of innocence, made using the holy red branch at the holy altar.
zts5067e	Branch of innocence?
zts5068e	The holy altar is.. hmm.. in the 8th floor of the deserted tower of the wizard. (Mumble) ..
zts5069e	Hey.. hey!!
zts5070e	So, you mean if I have the branch of innocence, I can pass the corridor.. right?
zts5071e	(Mumble) .. I guess it's right.
zts5072e	Now, I have to go to the deserted 'Tower of the wizard'.
zts5073e	Wow.. I made it.. This is the branch of innocence.
zts5074e	There are 4 energy streams. But these streams are protected by the power of the different elements.
zts5075e	Then how do I neutralize that?
zts5076e	Hmm. you probably have to use the magic supplies with all the elements. Let's search around here for a bit. We may find some answers.
zts5077e	All the steams have been neutralized!!
zts5078e	Hurry!! You have to complete it before Fernon regains its power!!
zts5079e	(Voice) Stop it!!
zts5080e	Who.. Who is it??
zts5081e	(Voice) Do you wish to confront Fernon?
zts5082e	Who is it?
zts5083e	(Voice) The Frenzy of Fernon will burn you down to the ashes!!
zts5084e	Who is it? What do you want from me?
zts5085e	(Voice) Let's make a deal. I will wait for you at the top of the temple.
zts5086e	(Silence)
zts5087e	That voice. can we trust it?
zts5088e	Look in front!
zts5089e	It's aura contains vast power. It comes from within the voice. We can't choose to ignore it with ease.
zts5090e	Well.. For starters I have no idea who you are and what you want. Why did you call us?
zts5091e	Kill. Kill me!
zts5092e	Be careful. That's enormous magic power!!
zts5093e	Woah!! I am free.
zts5094e	I.. I don't know. Ever since I was captured and put here, my time seems to have stopped. I don't know who I am or where I lived.. I don't remember anything at all.
zts5095e	What. What do you mean? We have to defeat Fernon!!
zts5096e	Hahaha.. It can never be defeated.
zts5097e	Yes. I probably am the key to put Fernon to sleep. Someone has to awaken Fernon.
zts5098e	Yes.
zts5099e	Thank you. I am free now finally. I can leave now.
zts5100e	(The soul is slowly disappearing.)
zts5101e	Hey.. Hey.. We have to beat Fernon. How can we reach the trunk of Fernon?
zts5102e	Fernon will allow only the person that awakens it or you need the symbol of that person. Without that, only death awaits. Give up!!
zts5103e	Hey. Hey.
zts5104e	(The soul disappeared..)
zts5105e	Ahh. Oh my.
zts5106e	It was Kenko that awoke Fernon.
zts5107e	What do you mean?
zts5108e	I mean that if we have the goods of Kenko, we can break that magic field.
zts5109e	But where can we get those.
zts5110e	Yes, That is the problem.
zts5111e	Hmm. You don't know where those goods are. Do you?
zts5112e	Now!! We have to go back to Milano.. To NosCamp.. Hurry up!!
zts5113e	Time's running out. Hurry up!!
zts5114e	Sellbig!! Sellbig!!
zts5115e	Ahh.. Why are you in such a hurry?
zts5116e	That magic stone.. I gave it to you before!!
zts5117e	That magic stone in Kreano.. That carved stone!!
zts5118e	Ahh.. Yes.. it is here..
zts5119e	Ahhh. I don't know what you are talking about. However, I will be happy if it will help you.
zts5120e	Yes. This is. With this.
zts5121e	It's over now.
zts5122e	No, not yet. At least not as long as we live. We have to keep moving if we want to stay that way.
zts5123e	Is there any hope then?
zts5124e	The magic field looks like it has broken down completely. We can rush to the heart of Fernon directly.
zts5125e	The heart of Fernon?
zts5126e	Yes.. If we can stop its heart beat, the body will be lifeless.
zts5127e	Right. We should have targeted its heart.
zts5128e	We have to believe that we can make it. It's too early to give up.
zts5129e	We won't run away!! We won't be defeated!! My brothers! Follow me!! Lift your swords high and slay these human beings.
zts5130e	This black slate!! It was for communication amongst the Devils.
zts5131e	Buh.. by the way.. why did you tell me the story??
zts5135e	Hmm. Hmmm. It's. known as. Rocking-rolling cliff.
zts5136e	Rocking-rolling cliff?
zts5137e	Be careful! Why did you follow me?
zts5138e	What is dangerous?
zts5139e	Don't go forward any more. There's a formidable devil ahead!
zts5140e	Devil?
zts5141e	It attacks all living creatures other than Kovolts. The Demons brought it here.
zts5142e	Don't go forward. Bye.
zts5143e	Milano Skill Registration Office (Use)
zts5151e	Get the seal of the Chicken-king.
zts5152e	We are announcing to all the people of Milano.
zts5153e	The Chicken farm of Sir Lopello is in danger because of the furious and violent chickens & roosters.
zts5154e	The Chicken-king used to be very popular and famous. But now it has becomes insane and violent and nobody knows why.
zts5155e	If we don't do anything to fix this, we cannot have any fresh eggs in the future.
zts5156e	If you don't want that to happen, capture the Chicken-king immediately.
zts5157e	We are running out of time. Go immediately. Do you understand?
zts5158e	[Hama, the butler of Sir Lopello's mansion]
zts5159e	Hmm. It sounds like a threat!
zts5160e	Lv.43 Searching for mysterious treasures
zts5161e	Main Quest for Spy
zts5162e	Lv.45 New alliance
zts5163e	Lv.48 Tree of Fernon
zts5164e	Conversation between spies
zts5165e	Nostale Official launch event
zts5166e	Eril 1
zts5167e	Eril 2
zts5168e	Eril 3
zts5169e	Eril 4
zts5170e	Eril 5
zts5171e	Eril 6
zts5172e	Eril 7
zts5173e	Receive item
zts5174e	Lv.44 New Alliance
zts5175e	Kovolt worker Jajamaru Quest
zts5176e	Receive Quest
zts5177e	Jajamaru Quest
zts5178e	Hey. How are you?
zts5179e	I am busy with something. Come back later.
zts5180e	.. (He looks down today..)
zts5181e	Gee.. How do I break this!!
zts5182e	Hmmm. Excuse me.
zts5183e	You!! Still here? Why are you bugging me?
zts5184e	No.. Just hear me out. I just want to help you since you seem to be having a hard time with something. (I better reserve my questions for a better time)
zts5185e	Ah.. really? Sorry I was rude to you. But I don't think you can help me here.
zts5186e	This is a meteorite, At least I guess it is. It dropped on my farm and I have been trying to break it open since then. Even my pick axe cant get through.
zts5187e	What?? Meteorite?? How is it be possible? Where is it?
zts5188e	Can you see that dug up place? That's where it fell. But you need to break this to get to it.
zts5189e	Hmmm.. Only if I could break it?(I need something harder) . Hold on!! I got an idea.
zts5190e	You still want to help me?
zts5191e	Of course, What is it?
zts5192e	I need to get the broken Meteorite Chunks, but my pickaxe is not helping me one bit.
zts5193e	I need a big hammer to do the job. Bring me the raw materials and I'll make a hammer.
zts5194e	Ok.. but what are the raw materials??
zts5195e	We need metal and stick of good quality
zts5196e	I brought the materials for making the hammer, here they are.
zts5197e	Aha!! These are fine ones. It's enough. Give me an hour.
zts5198e	Waiting..
zts5199e	Hew. Ok. I made it!
zts5200e	Wow!! You are great as always. I think I can break anything with this.
zts5201e	Haha!! .. I gave it much attention, because you will use it to help others.
zts5202e	Thanks a lot. Bye
zts5203e	Think we can break them with this?
zts5204e	Wow~ Sure, we can. Thanks.
zts5205e	You're welcome. I'll also help you with this.
zts5206e	Yes, Let's get them away immediately
zts5207e	Hewwww..
zts5208e	Wow.. you are so energetic. Thanks for your help.
zts5209e	No. You worked harder than me. Now, I will go to check that stone
zts5210e	Yes, It's over there, and looks like a tombstone. By the way, I feel something weird here, so be careful.
zts5211e	..?
zts5212e	* Out of breath * Hew. they are not supposed to be strong this much. Something is strange.
zts5213e	Is it because of the stone? I need to investigate this immediately!
zts5214e	Finally, I can see the stone. Wow.. It looks like a tombstone!!
zts5215e	Ahh~ I don't know. But I feel so dizzy.
zts5216e	When I touch the stone, a picture appears and displays something.
zts5217e	Where am I? And who are they?
zts5218e	That ugly man must be a villain. Is he kidnapping that lady? Is the guy in red costume trying to rescue her from him?
zts5219e	They call each their names.. The villain is Namaju and the lady is Jajamaru. Ah.. She is Princess Sakura.
zts5220e	Those two men.. They look very strong.. Uh? He's running away from there once the gate appeared.
zts5221e	The gate came out from the stone. Uh?? That gravestone is. It has the same shape as the stone.
zts5222e	I need to investigate the stone more.
zts5223e	what is this? Looks like a pebble. But the shape is weird.
zts5224e	Ah.. As soon as I picked the pebble, the picture disappeared.
zts5225e	This is no simple picture on a pebble?
zts5226e	This pebble must be a key to reach them.
zts5227e	This pebble matches the hole of this stone exactly.
zts5228e	I must remember this place.
zts5229e	Explained it to Eril.
zts5230e	People in the card? No way, it's not possible
zts5231e	So, Any clues about this?
zts5232e	Hmm.. I don't think I am of use. Ask to Mr. Sellbig. He may help you.
zts5233e	Ok.. I will..
zts5234e	Explained it to Sellbig
zts5235e	Hmmm.
zts5236e	Do you know what it is?
zts5237e	Yes, I've heard about that card, but it's not easy to bring the people out..
zts5238e	If you know how to, please tell me. I will try by best.
zts5239e	It may be possible to bring them out for short time.
zts5240e	Really?
zts5241e	Yes, but for this we need an item called 'the core of spirit', Mr. Raul may know about it.
zts5242e	Yes, I see. Thanks.
zts5243e	Raul, Raul, Where are you??
zts5244e	I am here, What brought you here?
zts5245e	I need.. I need the core of spirit. Where can I get it?
zts5246e	Hey.. Calm.. Calm down. If you need one, I can make it for you.
zts5247e	Really? Wow. I am so fortunate. Would you make it right now?
zts5248e	Well. It's not difficult to make it. However. the material. It's not easy to get it.
zts5249e	I will get it by all means. Please tell me what we need.
zts5250e	Hmm. To be honest with you, we need pure water and fairy's dung. Pure water is easy to get, but you must be a close friend to a fairy to get his dung
zts5251e	And then? Vellochika.. Yes. She's very close to fairies.
zts5252e	Yes. Raul. I will be back very soon. It's urgent, so please start preparation.
zts5253e	Oh.. yes!!
zts5254e	Vellochika!!
zts5255e	Hey~ Don't make the fuss. Be quite, otherwise you may surprise fairies.
zts5256e	So.. sorry.. I was in haste, so..
zts5257e	Haha.. that's Ok, by the way, why did you call me?
zts5258e	I need the dung of fairy. You have some?
zts5259e	No, I don't have it now, but if I ask for it, I can get it.
zts5260e	really? And can I have some, please?
zts5261e	<pname>, as you know, fairy is enthusiastic about the food, so if you bring them good dishes, they will give you some.
zts5262e	But, spice for making good food is not enough. Can you give me 5 leaves of fragrance then?
zts5263e	Ah.. That's a piece of cake.
zts5264e	Here they are.
zts5265e	Wow.. with this, we can have great lunch with fairies. Just moment.
zts5266e	Here it is. The dung of fairy
zts5267e	Thanks!!
zts5268e	You're most welcome. Due to your awesome dishes, we had great lunch.
zts5269e	(Now, all material are ready)
zts5270e	Finally, you come. I've awaiting you.
zts5271e	It's urgent. Please make it immediately.
zts5272e	Wait.. Just a moment.
zts5273e	Ok.. Ok.. here it is.
zts5274e	Ah. Thanks so much. And sorry for this hasty order.
zts5275e	No.. not at all. I am also pleased to help you.
zts5276e	(With this, I can bring out Jajamaru!! Let's go to Mr. Sellbig)
zts5277e	Mr. Sellbig. I brought the core of spirit. Now, what do I have to do?
zts5278e	It's very simple. Pour it on the card
zts5279e	Like this?
zts5280e	Yes. Slowly.. But keep in mind that you can bring them out for short time only. Time is not enough.
zts5281e	Slowly, the smoke is coming out of the card.
zts5282e	Hew~ Where am I? Thanks first of all. You must know what happened, right? Because we don't have enough time, please help me immediately.
zts5283e	Yes, with my pleasure!!
zts5284e	Thanks. I didn't expect to have a friend like you in this world. It's so great.
zts5285e	Me neither.
zts5286e	By the way, did you find any gate around there? I can feel same strong energy over there as I felt in my home village.
zts5287e	I heard that new gate was found in Northern prairie.
zts5288e	I see. Through that gate, I can go back to my home village. I hid princess's hair pin there. Can you seek for it?
zts5289e	Hair pin? Is it important one?
zts5290e	Yes, it has the power of princess inside. I could come here due to its power.
zts5291e	Ah..
zts5292e	And Namaju can be destroyed by my power only
zts5293e	Even if my body and power is sealed into the card, can you use my power? I will give all my power to you.
zts5294e	Please, use my power and rescue the princess.
zts5295e	Yes.. I will. I will rescue her by all means.
zts5296e	You have to train yourself to get used to this power.
zts5297e	Jajamaru became sealed into the card again.
zts5298e	Don't worry Jajamaru. I will rescue Princess Sakura by all means. With your power.
zts5299e	Hey, you.. Just moment.
zts5300e	Yes?
zts5301e	I can feel very pure power from you, <pname>.
zts5302e	Hahaha.. Don't say that. I am very shy.
zts5303e	Ah.. not from you, but from something else that you have now.
zts5304e	..
zts5305e	Ah. that hair pin. Can I have a look at it?
zts5306e	Sure, you can.
zts5307e	Wow. The power is so clean and pure. Hmmm. But the owner of this power. Is she locked in somewhere?
zts5308e	Yes, she is, how do you know that?
zts5309e	When I feel the power, I can feel where the owner is.
zts5310e	And then, can you release her with your power?
zts5311e	If the pin is full of her energy, it may be possible, but unfortunately, the energy in this pin is not enough.
